document_name,category,text,answer
RandWorldwideInc_20010402_8-KA_EX-10.2_2102464_EX-10.2_Co-Branding Agreement.pdf,Parties,"PlanetCAD Inc. (formerly known as Spatial Technology Inc.), (""Dassault Systemes"") and/or certain affiliates of Dassault Systemes,, PlanetCAD, Dassault Systemes, (each a ""Party,"" together, the ""Parties"").","Dassault Systemes (""Dassault Systemes"") and/or certain affiliates of Dassault Systems; PlanetCAD Inc. (""PlanetCAD"")(""Party,"" together, the ""Parties"")"
RandWorldwideInc_20010402_8-KA_EX-10.2_2102464_EX-10.2_Co-Branding Agreement.pdf,Agreement Date,"November 14, 2000",11/14/00
RandWorldwideInc_20010402_8-KA_EX-10.2_2102464_EX-10.2_Co-Branding Agreement.pdf,Effective Date,"November 14, 2000",11/14/00
RandWorldwideInc_20010402_8-KA_EX-10.2_2102464_EX-10.2_Co-Branding Agreement.pdf,Expiration Date,"This Agreement shall be effective as of the Effective Date and shall continue in force for three years from the Launch Date (the ""Initial Term"") unless earlier",11/14/03
RandWorldwideInc_20010402_8-KA_EX-10.2_2102464_EX-10.2_Co-Branding Agreement.pdf,Renewal Term,The Agreement shall automatically renew for successive one year additional terms unless terminated by either party at least six months prior to the expiration of the then-current term.,successive 1 year
RandWorldwideInc_20010402_8-KA_EX-10.2_2102464_EX-10.2_Co-Branding Agreement.pdf,Governing Law,"This Agreement shall be governed by, and construed in accordance with, the Laws of the State of New York, applicable to contracts executed in and to be performed entirely within that state.",New York
TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement.pdf,Document Name,CO-BRANDING Agreement,CO-BRANDING Agreement
TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement.pdf,Parties,"The Boxlot Company, Boxlot, theglobe, theglobe.com, Inc.","theglobe.com, Inc. (""theglobe""); The Boxlot Company (""Boxlot"")"
TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement.pdf,Agreement Date,"March , 1999",03/[]/1999
TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement.pdf,Effective Date,"March , 1999",03/[]/1999
TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement.pdf,Expiration Date,"""Launch Date"" means the first date on which the Service is made publicly available. This Agreement will become effective on the Effective Date and will continue in effect for 2 years following the Launch Date.",
TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement.pdf,Governing Law,"This Agreement will be governed and construed in accordance with the laws of the State of New York without giving effect to conflict of laws principles. Both parties submit to personal jurisdiction in New York and further agree that any cause of action arising under this Agreement shall be brought in a court in New York City, NY.",New York
TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement.pdf,Most Favored Nation,"All Users shall be treated at least as favorable in all respects (including without limitation with respect to pricing, quality of service, and customer support responsiveness) as Boxlot treats users of the Boxlot Site.",Yes
StampscomInc_20001114_10-Q_EX-10.47_2631630_EX-10.47_Co-Branding Agreement.pdf,Document Name,MANIFEST SYSTEM SERVICES AND CO-BRANDING AGREEMENT,MANIFEST SYSTEM SERVICES AND CO-BRANDING AGREEMENT
StampscomInc_20001114_10-Q_EX-10.47_2631630_EX-10.47_Co-Branding Agreement.pdf,Parties,"MBE, iShip.com, Inc., MAILBOXES ETC. USA, INC., Mail ------- Boxes Etc. USA, Inc., Company","iShip.com, Inc. (""Company""); Mail Boxes Etc. USA, Inc. (""MBE"")"
StampscomInc_20001114_10-Q_EX-10.47_2631630_EX-10.47_Co-Branding Agreement.pdf,Agreement Date,"April 27, 1999",4/27/99
StampscomInc_20001114_10-Q_EX-10.47_2631630_EX-10.47_Co-Branding Agreement.pdf,Effective Date,"April 27, 1999",4/27/99
StampscomInc_20001114_10-Q_EX-10.47_2631630_EX-10.47_Co-Branding Agreement.pdf,Expiration Date,The initial term of this Agreement shall ----------------------- commence on the Effective Date and end on the fifth anniversary of the Effective Date.,4/27/04
StampscomInc_20001114_10-Q_EX-10.47_2631630_EX-10.47_Co-Branding Agreement.pdf,Renewal Term,"MBE shall have the right to elect by written notice to the Company at any time between two (2) and six (6) months prior to the end of such initial term or any subsequent Renewal Period (as defined below), to notify the Company that MBE elects to seek to extend such term for additional two (2)-year periods (each a ""Renewal Period"") In the event of such election, MBE and the Company shall have -------------- a period of sixty (60) days in which to negotiate commercially reasonable Basic Fees, Bounty Fees and eBay Fees (and other applicable fees) (""Fee Schedule"") ------------ under which the Company would be willing to renew this Agreement for such Renewal Period., If MBE notifies the Company of its intent to so renew prior to the end of such initial term or such Renewal Period, the term of this Agreement shall automatically be extended for the Renewal Period and, other than the Fee Schedule, all of the terms and conditions of this Agreement shall remain in full force and effect.",successive 2 years
StampscomInc_20001114_10-Q_EX-10.47_2631630_EX-10.47_Co-Branding Agreement.pdf,Governing Law,"This Agreement and all acts and transactions pursuant ------------- hereto and the rights and obligations of the parties hereto shall be governed, construed and interpreted in accordance with the laws of the State of California, without giving effect to principles of conflicts of law.",California
CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement.pdf,Document Name,CHASE AFFILIATE AGREEMENT,CHASE AFFILIATE AGREEMENT
CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement.pdf,Parties,"Chase Bank USA, N.A. (?Chase?), you as an ""Affiliate""","Chase Bank USA, N.A., (""Chase""); You (""Affiliate"")"
CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement.pdf,Agreement Date,"April 6, 2007",04/06/2007
CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement.pdf,Effective Date,The term of this Agreement will commence on the date that the Affiliate Registration Form is approved by Chase and will end when terminated by either party.,
CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement.pdf,Expiration Date,The term of this Agreement will commence on the date that the Affiliate Registration Form is approved by Chase and will end when terminated by either party.,perpetual
CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement.pdf,Governing Law,"This Agreement will be governed in all respects by the laws of the State of Delaware, including its conflict with law provisions.",Delaware
DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement.pdf,Document Name,NETWORK AFFILIATE AGREEMENT,NETWORK AFFILIATE AGREEMENT
DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement.pdf,Parties,"Digital Cinema Destinations Corp., ""Network Affiliate"" and with NCM, each a ""Party"" and collectively, the ""Parties"", NCM, National CineMedia, LLC","National CineMedia, LLC (“NCM”); Digital Cinema Destinations Corp.; “Network Affiliate” and with NCM, ""Party"" and collectively, the ""Parties"""
DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement.pdf,Agreement Date,"14th day of March, 2011",3/14/11
DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement.pdf,Effective Date,The Parties contemplate that the Effective Date will be on or about .,/[]/
DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement.pdf,Expiration Date,"Unless earlier terminated as provided below, the term of this Agreement shall begin on the Effective Date and shall continue for a period of five (5) years from the Effective Date (the ""Initial Term"") after which this Agreement may be extended on mutual agreement of the parties (a ""Renewal Term,"" and together with the Initial Term, the ""Term"").",/[]/2016
DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement.pdf,Governing Law,This Agreement shall be binding on the Parties as of the date hereof and is to be construed in accordance with and governed by the internal laws of the State of Delaware without giving effect to any choice of law rule that would cause the application of the laws of any jurisdiction other than the internal laws of the State of Delaware to the rights and duties of the Parties.,Delaware
LinkPlusCorp_20050802_8-K_EX-10_3240252_EX-10_Affiliate Agreement.pdf,Document Name,AFFILIATE AGREEMENT,AFFILIATE AGREEMENT
LinkPlusCorp_20050802_8-K_EX-10_3240252_EX-10_Affiliate Agreement.pdf,Parties,"LKPL, Axiometric, Link Plus Corporation, Axiometric, LLC","Link Plus Corporation (""LKPL""); Axiometric, LLC. (""Axiometric"")"
LinkPlusCorp_20050802_8-K_EX-10_3240252_EX-10_Affiliate Agreement.pdf,Agreement Date,"JULY 15, 2005",7/15/05
LinkPlusCorp_20050802_8-K_EX-10_3240252_EX-10_Affiliate Agreement.pdf,Effective Date,"""Effective Date"" means July 15, 2005.",7/15/05
LinkPlusCorp_20050802_8-K_EX-10_3240252_EX-10_Affiliate Agreement.pdf,Expiration Date,This Agreement will remain in force for perpetuity or until and unless otherwise mutually agreed or amended in writing by both parties.,perpetual
LinkPlusCorp_20050802_8-K_EX-10_3240252_EX-10_Affiliate Agreement.pdf,Governing Law,This Agreement shall be construed and governed in accordance with the laws of the State of Maryland regardless of the place or places of its physical execution and performance.,Maryland
SouthernStarEnergyInc_20051202_SB-2A_EX-9_801890_EX-9_Affiliate Agreement.pdf,Document Name,Affiliate Program / Premium Affiliate Management General Terms and Conditions,Affiliate Program / Premium Affiliate Management General Terms and Conditions
SouthernStarEnergyInc_20051202_SB-2A_EX-9_801890_EX-9_Affiliate Agreement.pdf,Parties,"Web site owners (hereafter, ""Affiliates""), element 5 GmbH, Vogelsanger Strasse 78, 50823 Cologne, Germany and its subsidiaries (together hereafter, ""element 5""), Software Publishers, who wish to make use of the additional service provided by element 5 (hereafter, ""Affiliate Management""","Web site owners (hereafter, ""Affiliates""); Software Publishers; element 5 GmbH and its subsidiaries (together hereafter, ""element 5"") and who wish to make use of the additional service provided by element 5 (hereafter, ""AffiliateManagement"")"
SouthernStarEnergyInc_20051202_SB-2A_EX-9_801890_EX-9_Affiliate Agreement.pdf,Effective Date,"""The term of this Agreement will begin upon acceptance of Affiliates Program application and will end when terminated by either party of this Agreement.""",
SouthernStarEnergyInc_20051202_SB-2A_EX-9_801890_EX-9_Affiliate Agreement.pdf,Expiration Date,"""The term of this Agreement will begin upon acceptance of Affiliates Program application and will end when terminated by either party of this Agreement."", This Agreement is entered into for an unlimited period of time.",perpetual
SouthernStarEnergyInc_20051202_SB-2A_EX-9_801890_EX-9_Affiliate Agreement.pdf,Governing Law,"Even in case of agreements with foreign (non-German) Software Publishers and Affiliates, the law of the Federal Republic of Germany applies.",Germany
SteelVaultCorp_20081224_10-K_EX-10.16_3074935_EX-10.16_Affiliate Agreement.pdf,Parties,"National Credit Report.com, LLC, Equidata, Inc., Marketing Affiliate, Equidata","Equidata, Inc. (“Equidata”); National Credit Report.com, LLC (“Marketing Affiliate”)"
SteelVaultCorp_20081224_10-K_EX-10.16_3074935_EX-10.16_Affiliate Agreement.pdf,Agreement Date,1s t day of October 2008,10/01/2008
SteelVaultCorp_20081224_10-K_EX-10.16_3074935_EX-10.16_Affiliate Agreement.pdf,Effective Date,1s t day of October 2008,10/01/2008
SteelVaultCorp_20081224_10-K_EX-10.16_3074935_EX-10.16_Affiliate Agreement.pdf,Expiration Date,"This Agreement shall be for the term of one year; thereafter, the Agreement shall renew automatically under these same terms and agreements unless superceded by future agreements.",10/01/2009
SteelVaultCorp_20081224_10-K_EX-10.16_3074935_EX-10.16_Affiliate Agreement.pdf,Renewal Term,"This Agreement shall be for the term of one year; thereafter, the Agreement shall renew automatically under these same terms and agreements unless superceded by future agreements.",Successive 1 year
SteelVaultCorp_20081224_10-K_EX-10.16_3074935_EX-10.16_Affiliate Agreement.pdf,Governing Law,This Agreement is governed by and construed in accordance with the laws of the State of Virginia.,Virginia
UnionDentalHoldingsInc_20050204_8-KA_EX-10_3345577_EX-10_Affiliate Agreement.pdf,Document Name,BUSINESS AFFILIATE AGREEMENT,BUSINESS AFFILIATE AGREEMENT
UnionDentalHoldingsInc_20050204_8-KA_EX-10_3345577_EX-10_Affiliate Agreement.pdf,Parties,"collectively, Business Affiliate and UDC may be referred to collectively as the ""Parties"" and singularly as a (""Party""), UNION DENTAL CORP., Dr. George D. Green, Business Affiliate, UDC","Dr. George D. Green (""Business Affiliate""); UNION DENTAL CORP. (""UDC"")(""parties"" and singularly as a ""Party"")"
UnionDentalHoldingsInc_20050204_8-KA_EX-10_3345577_EX-10_Affiliate Agreement.pdf,Agreement Date,"January 28, 2005",1/28/05
UnionDentalHoldingsInc_20050204_8-KA_EX-10_3345577_EX-10_Affiliate Agreement.pdf,Effective Date,"October 15, 2004",10/15/04
UnionDentalHoldingsInc_20050204_8-KA_EX-10_3345577_EX-10_Affiliate Agreement.pdf,Expiration Date,This Agreement shall become effective on the Effective Date and shall continue in effect until either Party informs the other Party with thirty (30) day prior written notice of termination of this Agreement.,perpetual
TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement.pdf,Document Name,CHARTER AFFILIATE AFFILIATION AGREEMENT,CHARTER AFFILIATE AFFILIATION AGREEMENT
TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement.pdf,Parties,"Network, The TUBE Music Network, Inc., Affiliate, Tribune Broadcasting Company","The TUBE Music Network, Inc. (""Network""); Tribune Broadcasting Company (""Affiliate"")"
TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement.pdf,Agreement Date,"6t h day of March, 2006",03/06/2006
TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement.pdf,Effective Date,"6t h day of March, 2006",03/06/2006
TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement.pdf,Expiration Date,"The ""Initial Term"" shall commence upon the Effective Date and shall expire on March 31, 2011.",3/31/11
TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement.pdf,Renewal Term,"If the Term is renewed as described in Section 2(b), Network and Affiliate will negotiate exclusively and in good faith concerning further renewal of this Agreement upon mutually-agreed terms and conditions; provided, that unless Network and Affiliate otherwise agree in writing, the exclusive negotiation period will end six (6) months before the expiration of the Term., If Affiliate fails to notify Network of its desire that this Agreement terminate on its expiration date, at least six (6) months before the expiration date, this Agreement will automatically renew, upon the same terms and conditions, for an additional four (4) -year period (""Renewal Term"").","4 years, 6 months"
TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement.pdf,Governing Law,"The obligations of Affiliate and Network under this Agreement are subject to all applicable federal, state and local laws, rules and regulations, and this Agreement and all matters or issues collateral thereto shall be governed by the laws of the State of New York applicable to contracts to be entirely performed therein.",New York
UsioInc_20040428_SB-2_EX-10.11_1723988_EX-10.11_Affiliate Agreement 2.pdf,Document Name,AFFILIATE OFFICE AGREEMENT,AFFILIATE OFFICE AGREEMENT
UsioInc_20040428_SB-2_EX-10.11_1723988_EX-10.11_Affiliate Agreement 2.pdf,Parties,"Payment Data Systems, Inc., AFFILIATE, NETWORK 1 FINANCIAL, INC., NETWORK 1","NETWORK 1 FINANCIAL, INC. (""NETWORK 1""); Payment Data Systems, Inc. (""AFFILIATE"")"
UsioInc_20040428_SB-2_EX-10.11_1723988_EX-10.11_Affiliate Agreement 2.pdf,Agreement Date,"day of , in the year",
UsioInc_20040428_SB-2_EX-10.11_1723988_EX-10.11_Affiliate Agreement 2.pdf,Expiration Date,"The term (""Term"") of this Agreement shall be for one hundred eighty days (180) from the date set forth below unless Network 1 or Visa or MasterCard or Harris Bank doesn\t approve Affiliate\s ISO application, in which case, the Term will be 3 years.",
UsioInc_20040428_SB-2_EX-10.11_1723988_EX-10.11_Affiliate Agreement 2.pdf,Renewal Term,This Agreement will automatically renew for successive one-year terms unless terminated by either party by providing the other with 30 days written notice that this Agreement will not be renewed or Affiliate enters into a Processing agreement with Network 1 and an ISO Sponsorship agreement with Harris Bank in which case this Agreement will automatically terminate concurrent with the execution of such agreements.,successive 1 year
UsioInc_20040428_SB-2_EX-10.11_1723988_EX-10.11_Affiliate Agreement 2.pdf,Governing Law,"All disputes or claims by Payment Data Systems hereunder shall be resolved by arbitration in McLean, Virginia, pursuant to the rules of the American Arbitration Association., All disputes or claims by NETWORK 1 hereunder shall be resolved by arbitration in San Antonio, Texas, pursuant to the rules of the American Arbitration Association.","Virginia, Texas"
BizzingoInc_20120322_8-K_EX-10.17_7504499_EX-10.17_Endorsement Agreement.pdf,Document Name,CELEBRITY ENDORSEMENT AGREEMENT,CELEBRITY ENDORSEMENT AGREEMENT
BizzingoInc_20120322_8-K_EX-10.17_7504499_EX-10.17_Endorsement Agreement.pdf,Parties,"Joseph Theismann, Bizzingo, Inc., Theismann, Bizzingo","Bizzingo, Inc (""Bizzingo""); Joseph Theismann (""Theismann"")"
BizzingoInc_20120322_8-K_EX-10.17_7504499_EX-10.17_Endorsement Agreement.pdf,Agreement Date,"March 14, 2012",3/14/12
BizzingoInc_20120322_8-K_EX-10.17_7504499_EX-10.17_Endorsement Agreement.pdf,Effective Date,"March 1, 2012",03/01/2012
BizzingoInc_20120322_8-K_EX-10.17_7504499_EX-10.17_Endorsement Agreement.pdf,Expiration Date,"Unless sooner terminated under the provisions hereof, this Agreement shall commence on the Effective Date and continue for a period of one (1) year (""Term""). provided however, that the Parties may extend the Term for an additional year period by entering into an written addendum of the Agreement extending such term.",03/01/2013
BizzingoInc_20120322_8-K_EX-10.17_7504499_EX-10.17_Endorsement Agreement.pdf,Renewal Term,"Unless sooner terminated under the provisions hereof, this Agreement shall commence on the Effective Date and continue for a period of one (1) year (""Term""). provided however, that the Parties may extend the Term for an additional year period by entering into an written addendum of the Agreement extending such term.",1 year
BerkshireHillsBancorpInc_20120809_10-Q_EX-10.16_7708169_EX-10.16_Endorsement Agreement.pdf,Parties,"Berkshire, BERKSHIRE BANK, Auriemma, GENO AURIEMMA, (Each or both of which shall hereinafter be referred to as the ""PARTY"" or ""PARTIES,"" respectively).","Geno Auriemma (Auriemma); Berkshire Bank (Berkshire)(""Party"" or ""Parties"")"
BerkshireHillsBancorpInc_20120809_10-Q_EX-10.16_7708169_EX-10.16_Endorsement Agreement.pdf,Agreement Date,5/17/12,5/17/12
BerkshireHillsBancorpInc_20120809_10-Q_EX-10.16_7708169_EX-10.16_Endorsement Agreement.pdf,Expiration Date,"""CONTRACT PERIOD"" means that period of time commencing upon the full execution of this Agreement by both Parties and terminating on May 31, 2016 unless sooner terminated under this Agreement.",5/31/16
BerkshireHillsBancorpInc_20120809_10-Q_EX-10.16_7708169_EX-10.16_Endorsement Agreement.pdf,Governing Law,This Agreement shall be governed by and construed in accordance with the laws of the State of Connecticut.,Connecticut
GridironBionutrientsInc_20171206_8-K_EX-10.1_10972555_EX-10.1_Endorsement Agreement.pdf,Parties,"NFLA-NC, National Football League Alumni, Inc., Gridiron BioNutrients™, NFLA, National Football League Alumni - Northern California Chapter, Food For Athletes, Inc, (collectively the ""Company"").","National Football League Alumni - Northern America Chapter (""NFLA-NC""); National Football League Alumni, Inc (""NFLA""); Food For Athletes, Inc./Gridiron BioNutrients™ (collectively the ""Company"")"
GridironBionutrientsInc_20171206_8-K_EX-10.1_10972555_EX-10.1_Endorsement Agreement.pdf,Agreement Date,"October 30, 2017",10/30/17
GridironBionutrientsInc_20171206_8-K_EX-10.1_10972555_EX-10.1_Endorsement Agreement.pdf,Effective Date,"All terms of this Agreement will automatically commence on November 1st, 2017, and expire on November 2nd, 2020.",11/01/2017
GridironBionutrientsInc_20171206_8-K_EX-10.1_10972555_EX-10.1_Endorsement Agreement.pdf,Expiration Date,"All terms of this Agreement will automatically commence on November 1st, 2017, and expire on November 2nd, 2020.",11/02/2020
GridironBionutrientsInc_20171206_8-K_EX-10.1_10972555_EX-10.1_Endorsement Agreement.pdf,Governing Law,"This Agreement shall be governed by, and its provisions enforced in accordance with, the laws of California without regard to its principles of conflicts of laws.",California
LegacyEducationAllianceInc_20141110_8-K_EX-10.9_8828866_EX-10.9_Endorsement Agreement.pdf,Document Name,TALENT ENDORSEMENT AGREEMENT,TALENT ENDORSEMENT AGREEMENT
LegacyEducationAllianceInc_20141110_8-K_EX-10.9_8828866_EX-10.9_Endorsement Agreement.pdf,Parties,"Celebrity Speakers, Tigrent Learning UK Limited, CSA, Talent, Robbie Fowler, Company","Tigrent Learning UK Limited (""Company""); Celebrity Speakers (""CSA""); Robbie Fowler (""Talent"")"
LegacyEducationAllianceInc_20141110_8-K_EX-10.9_8828866_EX-10.9_Endorsement Agreement.pdf,Agreement Date,day of 2013,/[]/2013
LegacyEducationAllianceInc_20141110_8-K_EX-10.9_8828866_EX-10.9_Endorsement Agreement.pdf,Effective Date,"""Commencement Date"" means: 1st January 2013.",01/01/2013
LegacyEducationAllianceInc_20141110_8-K_EX-10.9_8828866_EX-10.9_Endorsement Agreement.pdf,Expiration Date,"""Term"" means: 1.5t January 2013 to 315t December 2013 or until terminated under the provisions of this Agreement or the Primary Agreement.",12/31/13
LegacyEducationAllianceInc_20141110_8-K_EX-10.9_8828866_EX-10.9_Endorsement Agreement.pdf,Renewal Term,The period of license granted shall be for the Term and shall extend for a period of twenty four (24) months or until terminated as per clause 8 herein.,24 months
LegacyEducationAllianceInc_20141110_8-K_EX-10.9_8828866_EX-10.9_Endorsement Agreement.pdf,Governing Law,"This Agreement shall be governed by the laws of England and Wales, and all actions brought hereunder whether at law or in equity shall be brought in England.","England, United Kingdom; Wales, United Kingdom"
LifewayFoodsInc_20160316_10-K_EX-10.24_9489766_EX-10.24_Endorsement Agreement.pdf,Parties,"Ludmila Smolyansky, Lifeway, Individual, Lifeway Foods, Inc.","Lifeway Foods, Inc. (""Lifeway""); Ludmila Smolyansky (""Individual"")"
LifewayFoodsInc_20160316_10-K_EX-10.24_9489766_EX-10.24_Endorsement Agreement.pdf,Agreement Date,"14th day of March, 2016",3/14/16
LifewayFoodsInc_20160316_10-K_EX-10.24_9489766_EX-10.24_Endorsement Agreement.pdf,Effective Date,"14th day of March, 2016",3/14/16
LifewayFoodsInc_20160316_10-K_EX-10.24_9489766_EX-10.24_Endorsement Agreement.pdf,Governing Law,"This Agreement will be construed and governed in accordance with the laws of the State of Illinois, without regard to conflict of laws principles.",Illinois
PerformanceSportsBrandsInc_20110909_S-1_EX-10.10_7220214_EX-10.10_Endorsement Agreement.pdf,Parties,"Andy North, Company, Golfers Incorporated, North","Golfers Incorporated (""Company""); Andy North (""North"")"
PerformanceSportsBrandsInc_20110909_S-1_EX-10.10_7220214_EX-10.10_Endorsement Agreement.pdf,Agreement Date,21s t day of February 2011,2/21/11
PerformanceSportsBrandsInc_20110909_S-1_EX-10.10_7220214_EX-10.10_Endorsement Agreement.pdf,Effective Date,"February 21, 2011",2/21/11
PerformanceSportsBrandsInc_20110909_S-1_EX-10.10_7220214_EX-10.10_Endorsement Agreement.pdf,Expiration Date,"""Contract Period"" shall mean that period of time from February 21, 2011 through December 31, 2012.",12/31/12
PerformanceSportsBrandsInc_20110909_S-1_EX-10.10_7220214_EX-10.10_Endorsement Agreement.pdf,Governing Law,"The Agreement shall be governed by and construed under the laws of the State of Florida in the United States of America, and venue for any such legal action shall be in the Circuit Court or County Court in Orlando, FL or the U.S. District Court having jurisdiction over Orlando, FL.",Florida
PharmagenInc_20120803_8-KA_EX-10.1_7693204_EX-10.1_Endorsement Agreement.pdf,Parties,"""Celebrity, Healthcare Distribution Specialists LLC, HDS, Paul Silas","Healthcare Distribution Specialists LLC (""HDS""); Paul Silas (""Celebrity"")"
PharmagenInc_20120803_8-KA_EX-10.1_7693204_EX-10.1_Endorsement Agreement.pdf,Agreement Date,"February 20, 2012",2/20/12
PharmagenInc_20120803_8-KA_EX-10.1_7693204_EX-10.1_Endorsement Agreement.pdf,Effective Date,"February 20, 2012",2/20/12
PharmagenInc_20120803_8-KA_EX-10.1_7693204_EX-10.1_Endorsement Agreement.pdf,Expiration Date,"The term of this Agreement shall be for one (1) year commencing on the Effective Date and ending on February 19, 2013 (""Term"").",2/19/13
PharmagenInc_20120803_8-KA_EX-10.1_7693204_EX-10.1_Endorsement Agreement.pdf,Governing Law,"Regardless of the place of execution hereof, this Agreement, all amendments hereto, and any and all issues or controversies arising here from or related hereto, shall be governed by and construed exclusively in accordance with the laws and decisions of the State of Georgia.",Georgia
PrudentialBancorpInc_20170606_8-K_EX-10.4_10474434_EX-10.4_Endorsement Agreement.pdf,Document Name,Split-Dollar Endorsement Agreement,Split-Dollar Endorsement Agreement
PrudentialBancorpInc_20170606_8-K_EX-10.4_10474434_EX-10.4_Endorsement Agreement.pdf,Parties,"""Employer""), Prudential Bank, Employee, Jeffrey Hanuscin","Prudential Bank (""Employer""); Jeffrey Hanuscin (""Employee"")"
PrudentialBancorpInc_20170606_8-K_EX-10.4_10474434_EX-10.4_Endorsement Agreement.pdf,Agreement Date,"1st day of June, 2017",06/01/2017
PrudentialBancorpInc_20170606_8-K_EX-10.4_10474434_EX-10.4_Endorsement Agreement.pdf,Effective Date,"1st day of June, 2017 WHEREAS, it is now understood and agreed that this split-dollar agreement is to be effective as of the date first listed above;",06/01/2017
PrudentialBancorpInc_20170606_8-K_EX-10.4_10474434_EX-10.4_Endorsement Agreement.pdf,Governing Law,"This Agreement sets forth the entire Agreement of the parties hereto, and any and all prior agreements, to the extent inconsistent herewith, are hereby superseded. This Agreement will be governed by the laws of the State of Pennsylvania.",Pennsylvania
ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_Endorsement Agreement.pdf,Document Name,ENDORSEMENT,ENDORSEMENT
ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_Endorsement Agreement.pdf,Parties,Thrivent Financial for Lutherans,Thrivent Financial for Lutherans
ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_Endorsement Agreement.pdf,Agreement Date,"July 1, 2019",07/01/2019
ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_Endorsement Agreement.pdf,Effective Date,"July 1, 2019",07/01/2019
ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement.pdf,Document Name,BLOCKCHAIN ADMINISTRATION AND DEVELOPMENT AGREEMENT,BLOCKCHAIN ADMINISTRATION AND DEVELOPMENT AGREEMENT
ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement.pdf,Parties,"Fund, Blockchain Administrator, ARCA CAPITAL MANAGEMENT, LLC, ARCA U.S. TREASURY FUND,","ARCA U.S. TREASURY FUND (""Fund""); ARCA CAPITAL MANAGEMENT, LLC (""Blockchain Administrator"")"
ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement.pdf,Agreement Date,"[ ], 2020",/[]/2020
ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement.pdf,Effective Date,This Agreement shall become effective as of the first date above written,/[]/2020
ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement.pdf,Expiration Date,"This Agreement shall continue in effect for two years from the date hereof, and thereafter shall continue automatically for successive annual periods, provided that such continuance is specifically approved at least annually by (A) the vote of the Board, or by the vote of a majority of the outstanding voting securities of the Fund and (B) the vote of a majority of the Fund\s directors who are not parties to this Agreement or ""interested persons"" (as such term is defined in Section 2(a)(19) of the Investment Fund Act) of any such party, in accordance with the requirements of the Investment Fund Act.",/[]/2022
